MSOA code,MSOA name,Local authority code,Local authority name,Region code,Region name,Net annual income (£),Upper confidence limit (£),Lower confidence limit (£),Confidence interval (£),Average
E02000739,Newham 026,E09000025,Newham,E12000007,London,35400.00,41200.00,30500.00,10700.00,35850.00
E02000740,Newham 027,E09000025,Newham,E12000007,London,33400.00,38700.00,28900.00,9800.00,33800.00
E02000741,Newham 028,E09000025,Newham,E12000007,London,37100.00,43500.00,31700.00,11800.00,37600.00
E02000742,Newham 029,E09000025,Newham,E12000007,London,34700.00,40400.00,29800.00,10600.00,35100.00
E02000743,Newham 030,E09000025,Newham,E12000007,London,31900.00,37100.00,27300.00,9800.00,32200.00
E02000744,Newham 031,E09000025,Newham,E12000007,London,35100.00,40700.00,30400.00,10300.00,35550.00
E02000745,Newham 032,E09000025,Newham,E12000007,London,43300.00,50600.00,37000.00,13600.00,43800.00
E02000746,Newham 033,E09000025,Newham,E12000007,London,38200.00,44600.00,32700.00,11900.00,38650.00
E02000747,Newham 034,E09000025,Newham,E12000007,London,40800.00,47400.00,35100.00,12300.00,41250.00
E02000748,Newham 035,E09000025,Newham,E12000007,London,44300.00,52100.00,37600.00,14500.00,44850.00
E02000749,Newham 036,E09000025,Newham,E12000007,London,35100.00,40600.00,30300.00,10300.00,35450.00
E02000750,Newham 037,E09000025,Newham,E12000007,London,44700.00,51800.00,38500.00,13300.00,45150.00
