year,id,price
2007,UKL,1.1799999
2007,UKM,1.1799999
2007,UKN,1.1799999
2008,UKI,1.62
2008,UKJ,1.73
2008,UKK,1.62
2008,UKH,1.6900001
2008,UKF,1.75
2008,UKG,1.6900001
2008,UKE,1.62
2008,UKD,1.49
2008,UKC,1.51
2008,UKL,1.59
2008,UKM,1.73
2008,UKN,1.73
2009,UKI,1.98
2009,UKJ,1.98
2009,UKK,2.0799999
2009,UKH,1.98
2009,UKF,2.0799999
2009,UKG,1.9400001
2009,UKE,1.89
2009,UKD,1.89
2009,UKC,1.38
2009,UKL,1.88
2009,UKM,1.9400001
2009,UKN,1.92
2010,UKI,1.9400001
2010,UKJ,1.89
2010,UKK,1.9400001
2010,UKH,1.99
2010,UKF,2.0
2010,UKG,1.88
2010,UKE,1.9400001
2010,UKD,1.89
2010,UKC,1.75
2010,UKL,1.88
2010,UKM,1.9400001
2010,UKN,1.88
2011,UKI,2.0
2011,UKJ,2.1900001
2011,UKK,1.99
2011,UKH,2.04999995
2011,UKF,2.04999995
2011,UKG,2.0
2011,UKE,2.1900001
2011,UKD,1.99
2011,UKC,1.88
2011,UKL,2.1900001
2011,UKM,1.99
2011,UKN,1.88
2012,UKI,2.08500005
2012,UKJ,2.0
2012,UKK,1.99
2012,UKH,2.0
2012,UKF,2.0
2012,UKG,2.0
2012,UKE,2.0
2012,UKD,1.99
2012,UKC,1.88
2012,UKL,2.1700001
2012,UKM,1.99
2012,UKN,1.99
2013,UKI,2.1900001
2013,UKJ,2.0
2013,UKK,2.1700001
2013,UKH,2.1700001
2013,UKF,2.1700001
2013,UKG,2.1700001
2013,UKE,2.0999999
2013,UKD,1.99
2013,UKC,2.0
2013,UKL,2.1900001
2013,UKM,1.99
2013,UKN,2.0
2014,UKI,2.1900001
2014,UKJ,2.0
2014,UKK,2.0
2014,UKH,2.0
2014,UKF,2.0
2014,UKG,2.0
2014,UKE,2.0
2014,UKD,2.0
2014,UKC,2.0
2014,UKL,2.0
2014,UKM,2.0
2014,UKN,1.99
2015,UKI,2.29
2015,UKJ,2.0
2015,UKK,2.0
2015,UKH,2.0
2015,UKF,2.0
2015,UKG,2.0
2015,UKE,2.0
2015,UKD,2.0
2015,UKC,2.0
2015,UKL,2.0
2015,UKM,2.0
2015,UKN,1.99
2016,UKI,2.29
2016,UKJ,2.0
2016,UKK,2.0
2016,UKH,1.99
2016,UKF,2.0
2016,UKG,2.29
2016,UKE,2.0
2016,UKD,2.0
2016,UKC,2.0
2016,UKL,2.0
2016,UKM,2.0
2016,UKN,1.99
2017,UKI,2.29
2017,UKJ,2.0
2017,UKK,2.0
2017,UKH,1.99
2017,UKF,2.0
2017,UKG,2.0
2017,UKE,1.99
2017,UKD,2.0
2017,UKC,1.995
2017,UKL,2.0
2017,UKM,2.0
2017,UKN,1.9
2018,UKI,2.29
2018,UKJ,1.99
2018,UKK,1.9
2018,UKH,1.95
2018,UKF,1.9
2018,UKG,2.0
2018,UKE,1.9
2018,UKD,1.95
2018,UKC,1.9
2018,UKL,1.75
2018,UKM,1.99
2018,UKN,1.75
2019,UKI,2.25
2019,UKJ,1.99
2019,UKK,1.9
2019,UKH,1.99
2019,UKF,1.9
2019,UKG,2.29
2019,UKE,1.9
2019,UKD,1.99
2019,UKC,1.9
2019,UKL,1.9
2019,UKM,1.99
2019,UKN,1.75
2020,UKI,1.995
2020,UKJ,2.0
2020,UKK,1.9
2020,UKH,1.9
2020,UKF,1.9
2020,UKG,2.0
2020,UKE,1.9
2020,UKD,1.99
2020,UKC,1.9
2020,UKL,1.9
2020,UKM,1.99
2020,UKN,1.87
2021,UKI,2.0
2021,UKJ,2.0
2021,UKK,1.9
2021,UKH,2.0
2021,UKF,1.9
2021,UKG,2.0
2021,UKE,1.9
2021,UKD,2.0
2021,UKC,1.9
2021,UKL,2.0
2021,UKM,2.0
2021,UKN,1.87
2022,UKI,2.29
2022,UKJ,2.05
2022,UKK,1.9
2022,UKH,2.0
2022,UKF,2.0
2022,UKG,2.2
2022,UKE,2.0
2022,UKD,2.2
2022,UKC,1.9
2022,UKL,2.0
2022,UKM,2.0
2022,UKN,1.9
2023,UKI,2.2
2023,UKJ,2.2
2023,UKK,2.2
2023,UKH,2.1
2023,UKF,2.2
2023,UKG,2.2
2023,UKE,2.2
2023,UKD,2.2
2023,UKC,2.0
2023,UKL,2.2
2023,UKM,2.2
2023,UKN,2.0
