Original Name,Cleaned Name,Href,Crime Data,NAME,NETWORK
Dollis Hill (LU Station),Dollis Hill (LU Station),/data/9257244,18,Dollis Hill,London Underground
Ealing Broadway (LU Station),Ealing Broadway (LU Station),/data/9567189,36,Ealing Broadway,London Underground
Ealing Common (LU Station),Ealing Common (LU Station),/data/9252249,9,Ealing Common,London Underground
Earls Court (LU Station),Earls Court (LU Station),/data/9258158,85,Earls Court,London Underground
East Acton (LU Station),East Acton (LU Station),/data/6105959,20,East Acton,London Underground
East Finchley (LU Station),East Finchley (LU Station),/data/6425890,47,East Finchley,London Underground
East Ham (LU Station),East Ham (LU Station),/data/9261901,122,East Ham,London Underground
East India (DLR),East India (DLR),/data/9250276,3,East India,DLR
East Putney (LU Station),East Putney (LU Station),/data/6365361,5,East Putney,London Underground
Eastcote (LU Station),Eastcote (LU Station),/data/9281058,13,Eastcote,London Underground
Edgware (LU Station),Edgware (LU Station),/data/8434101,29,Edgware,London Underground
Edgware Road (Bak) (LU Station),Edgware Road (Bak) (LU Station),/data/9281009,37,Edgware Road,Bak) (LU Station
Edgware Road (Cir Dis H&C) (LU Station),Edgware Road (Cir Dis H&C) (LU Station),/data/8200839,13,Edgware Road,Cir Dis H&C) (LU Station
Elephant And Castle (LU Station),Elephant And Castle (LU Station),/data/6674208,59,Elephant And Castle,London Underground
Elm Park (LU Station),Elm Park (LU Station),/data/7681524,11,Elm Park,London Underground
Elverson Road (DLR),Elverson Road (DLR),/data/8200950,3,Elverson Road,DLR
Embankment (LU Station),Embankment (LU Station),/data/9883419,111,Embankment,London Underground
Epping (LU Station),Epping (LU Station),/data/6939849,111,Epping,London Underground
Euston (LU Station),Euston (LU Station),/data/9249394,235,Euston,London Underground
Euston Square (LU Station),Euston Square (LU Station),/data/9248967,40,Euston Square,London Underground
Fairlop (LU Station),Fairlop (LU Station),/data/7145567,9,Fairlop,London Underground
Farringdon (LU Station),Farringdon (LU Station),/data/9267270,43,Farringdon,London Underground
Finchley Central (LU Station),Finchley Central (LU Station),/data/6431511,43,Finchley Central,London Underground
