ATCOCode,ATCOCode_revised,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZMANAV,940GZZMANAV,mantmwag,,,Navigation Road (Manchester Metrolink),,Navigation Road,,Navigation Road Rail Station,,Off Navigation Road,,,,,,,N0075095,Navigation Road,Altrincham,,,,,,1,UKOS,377265,388836,-2.343360892,53.39586147,MET,,,,,,147,2005-10-13T00:00:00,2021-04-27T12:13:28,6,revise,active
9400ZZMANAV1,940GZZMANAV1,mantpmjg,,,Navigation Road (Manchester Metrolink),,Navigation Road,,Navigation Road Rail Station,,Off Navigation Road,,,,To Manchester,,,N0075095,Navigation Road,Altrincham,,,,,,1,UKOS,377274,388869,-2.343227938,53.39615847,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,6,revise,active
9400ZZMANAV2,940GZZMANAV2,mangdjpd,,,Navigation Road (Manchester Metrolink),,Navigation Road,,Navigation Road Rail Station,,Off Navigation Road,,,,To Altrincham,,,N0075095,Navigation Road,Altrincham,,,,,,0,UKOS,377262,388804,-2.343403689,53.39557371,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,6,revise,active
9400ZZMANBD,940GZZMANBD,mantpwdt,,,Newbold (Manchester Metrolink),,Newbold,,,,Off Kingsway,,,,,,,E0029130,Newbold,Rochdale,,,,,,1,UKOS,391133,412992,-2.135502609,53.61340262,MET,,,,,,147,2012-10-18T14:02:00,2021-04-27T12:13:28,3,revise,active
9400ZZMANBD1,940GZZMANBD1,mantpwdw,,,Newbold (Manchester Metrolink),,Newbold,,,,Off Kingsway,,,,To Rochdale,,,E0029130,Newbold,Rochdale,,,,,,1,UKOS,391133,412991,-2.13550258,53.61339363,PLT,,,,,,147,2012-10-18T14:02:00,2021-04-16T09:27:13,3,revise,active
9400ZZMANBD2,940GZZMANBD2,mantpwga,,,Newbold (Manchester Metrolink),,Newbold,,,,Off Kingsway,,,,To Manchester,,,E0029130,Newbold,Rochdale,,,,,,1,UKOS,391134,412994,-2.135487551,53.61342062,PLT,,,,,,147,2012-10-18T14:03:00,2021-04-16T09:27:13,3,revise,active
9400ZZMANEW,940GZZMANEW,mantpmtm,,,Newton Heath & Moston (Manchester Metrolink),,Newton Heath & Moston,,,,Off Dean Lane,,,,,,,E0029135,Newton Heath,Manchester,,,,,,1,UKOS,387914,400850,-2.183685106,53.50420197,MET,,,,,,147,2012-04-04T15:50:00,2021-04-27T12:13:28,3,revise,active
9400ZZMANEW1,940GZZMANEW1,mantpmtj,,,Newton Heath & Moston (Manchester Metrolink),,Newton Heath & Moston,,,,Off Dean Lane,,,,To Rochdale,,,E0029135,Newton Heath,Manchester,,,,,,1,UKOS,387900,400848,-2.183896099,53.50418367,PLT,,,,,,147,2012-04-04T16:02:00,2021-04-16T09:27:13,4,revise,active
9400ZZMANEW2,940GZZMANEW2,mantwtgj,,,Newton Heath & Moston (Manchester Metrolink),,Newton Heath & Moston,,,,Off Dean Lane,,,,To Manchester,,,E0029135,Newton Heath,Manchester,,,,,,1,UKOS,387927,400854,-2.183489267,53.50423823,PLT,,,,,,147,2017-01-08T22:16:34,2021-04-16T09:27:13,2,revise,active
9400ZZMANHY,940GZZMANHY,mantpwaw,,,Newhey (Manchester Metrolink),,Newhey,,,,Off Huddersfield Road,,,,,,,E0029132,Newhey,Rochdale,,,,,,1,UKOS,393835,411588,-2.094632346,53.60082251,MET,,,,,,147,2012-10-17T16:02:00,2021-04-27T12:13:28,4,revise,active
9400ZZMANHY1,940GZZMANHY1,mantpwda,,,Newhey (Manchester Metrolink),,Newhey,,,,Off Huddersfield Road,,,,To Rochdale,,,E0029132,Newhey,Rochdale,,,,,,1,UKOS,393837,411583,-2.094602023,53.60077759,PLT,,,,,,147,2012-10-17T16:03:00,2021-04-16T09:27:13,4,revise,active
9400ZZMANHY2,940GZZMANHY2,mantpwdg,,,Newhey (Manchester Metrolink),,Newhey,,,,Off Huddersfield Road,,,,To Manchester,,,E0029132,Newhey,Rochdale,,,,,,1,UKOS,393833,411595,-2.094662709,53.6008854,PLT,,,,,,147,2012-10-17T16:04:00,2021-04-16T09:27:13,4,revise,active
9400ZZMANIS,940GZZMANIS,mantpwjm,,,New Islington (Manchester Metrolink),,New Islington,,St Anne's RC Primary School,,Pollard Street,,,,,,,N0080417,New Islington,Ancoats,,,,,,1,UKOS,385509,398281,-2.219824513,53.48104961,MET,,,,,,147,2012-10-18T14:04:00,2021-04-27T12:13:28,3,revise,active
