Borough,Year,Receipts
Tower Hamlets,2017,"10,328,372"
Waltham Forest,2017,"2,324,342"
Wandsworth,2017,"4,724,880"
Westminster,2017,16234265
Total,2017,108994589
Barking & Dagenham,2018,2021754
Barnet,2018,4496586
Bexley,2018,1330350
Brent,2018,9390621
Bromley,2018,1029989
Camden,2018,6485799
City,2018,4388713
Croydon,2018,2221729
Ealing,2018,3994537
Enfield,2018,2496168
Greenwich,2018,4814158
Hackney,2018,4295465
Hammersmith & Fulham,2018,646384
Haringey,2018,2603145
Harrow,2018,1627861
Havering,2018,1460768
Hillingdon,2018,2143020
Hounslow,2018,8850692
Islington,2018,2859547
Kensington & Chelsea,2018,3688488
Kingston,2018,2325116
Lambeth,2018,2947340
Lewisham,2018,"569,026"
LLDC,2018,"1,057,894"
Merton,2018,"2,657,862"
Newham,2018,"4,142,180"
OPDC,2018,"1,308,643"
Redbridge,2018,"479,140"
Richmond,2018,"1,045,963"
Southwark,2018,"3,223,500"
Sutton,2018,"316,143"
Tower Hamlets,2018,"5,428,361"
Waltham Forest,2018,"1,740,594"
Wandsworth,2018,"6,959,986"
Westminster,2018,11998781
Total,2018,117046304
Barking & Dagenham,2019,1196790
Barnet,2019,5495936
Bexley,2019,1235103
Brent,2019,5689924
Bromley,2019,3435210
Camden,2019,1210516
City,2019,10018910
Croydon,2019,1556640
Ealing,2019,5995565
Enfield,2019,1078151
Greenwich,2019,2342585
Hackney,2019,2845809
Hammersmith & Fulham,2019,4799571
Haringey,2019,7224269
Harrow,2019,1015213
Havering,2019,1926251
Hillingdon,2019,1872838
Hounslow,2019,4318135
Islington,2019,4791374
Kensington & Chelsea,2019,1984534
Kingston,2019,2597528
Lambeth,2019,3840706
Lewisham,2019,"2,372,357"
LLDC,2019,"8,762,416"
Merton,2019,"3,046,822"
Newham,2019,"2,104,161"
OPDC,2019,"1,670,854"
Redbridge,2019,"496,667"
Richmond,2019,"1,628,169"
Southwark,2019,"5,434,516"
Sutton,2019,"445,813"
Tower Hamlets,2019,"9,822,073"
Waltham Forest,2019,"893,808"
Wandsworth,2019,"7,166,646"
Westminster,2019,15537620
Total,2019,135853482
Barking & Dagenham,2020,492045
Barnet,2020,4265690
Bexley,2020,1041989
Brent,2020,4290054
Bromley,2020,2057231
Camden,2020,2955331
City,2020,2031248
Croydon,2020,5628037
Ealing,2020,6796204
Enfield,2020,735607
Greenwich,2020,578204
Hackney,2020,3168290
Hammersmith & Fulham,2020,14570158
Haringey,2020,1362270
Harrow,2020,801952
Havering,2020,755301
Hillingdon,2020,4972531
Hounslow,2020,3258231
Islington,2020,2759421
Kensington & Chelsea,2020,890376
Kingston,2020,2738822
Lambeth,2020,1322120
Lewisham,2020,"2,066,628"
LLDC,2020,"699,153"
Merton,2020,"1,244,136"
Newham,2020,"1,967,152"
OPDC,2020,"558,108"
Redbridge,2020,"722,300"
Richmond,2020,"347,264"
Southwark,2020,"5,447,229"
Sutton,2020,"1,100,717"
Tower Hamlets,2020,"25,121,248"
Waltham Forest,2020,"933,760"
Wandsworth,2020,"5,464,781"
Westminster,2020,8784949
Total,2020,121928536
Barking & Dagenham,2021,826458
Barnet,2021,7074911
Bexley,2021,1266821
Brent,2021,4510413
Bromley,2021,2283462
Camden,2021,3943441
City,2021,10019927
Croydon,2021,1448391
Ealing,2021,4471616
Enfield,2021,2324552
Greenwich,2021,3056502
Hackney,2021,2795907
Hammersmith & Fulham,2021,7280379
Haringey,2021,3706647
