Line,Lost Customer Hours,Date
District,"377,080",2019-10-01
District,"202,398",2019-11-01
District,"172,337",2019-12-01
District,"89,576",2020-01-01
District,"134,561",2020-02-01
District,"141,307",2020-03-01
Jubilee,"247,373",2016-04-01
Jubilee,"199,036",2016-05-01
Jubilee,"228,329",2016-06-01
Jubilee,"235,013",2016-07-01
Jubilee,"225,339",2016-08-01
Jubilee,"223,271",2016-09-01
Jubilee,"147,171",2016-10-01
Jubilee,"241,853",2016-11-01
Jubilee,"267,090",2016-12-01
Jubilee,"104,525",2017-01-01
Jubilee,"300,989",2017-02-01
Jubilee,"282,834",2017-03-01
Jubilee,"180,114",2017-03-31
Jubilee,"242,339",2017-04-01
Jubilee,"178,115",2017-05-01
Jubilee,"305,022",2017-06-01
Jubilee,"314,730",2017-07-01
Jubilee,"280,449",2017-08-01
Jubilee,"284,643",2017-09-01
Jubilee,"295,954",2017-10-01
Jubilee,"225,059",2017-11-01
Jubilee,"268,320",2017-12-01
Jubilee,"261,243",2018-01-01
Jubilee,"293,864",2018-02-01
Jubilee,"421,812",2018-03-01
Jubilee,"435,935",2018-03-31
Jubilee,"594,230",2018-04-01
Jubilee,"248,067",2018-05-01
Jubilee,"178,523",2018-06-01
Jubilee,"339,414",2018-07-01
Jubilee,"412,151",2018-08-01
Jubilee,"276,089",2018-09-01
Jubilee,"436,394",2018-10-01
Jubilee,"678,819",2018-11-01
Jubilee,"559,096",2018-12-01
Jubilee,"523,077",2019-01-01
Jubilee,"377,245",2019-02-01
Jubilee,"365,425",2019-03-01
Jubilee,"494,979",2019-03-31
Jubilee,"354,980",2019-04-01
Jubilee,"363,461",2019-05-01
Jubilee,"468,455",2019-06-01
Jubilee,"332,967",2019-07-01
Jubilee,"689,453",2019-08-01
Jubilee,"438,627",2019-09-01
Jubilee,"629,321",2019-10-01
Jubilee,"1,714,328",2019-11-01
Jubilee,"1,712,594",2019-12-01
Jubilee,"670,271",2020-01-01
Jubilee,"458,398",2020-02-01
Jubilee,"492,714",2020-03-01
Metropolitan,"89,559",2016-04-01
Metropolitan,"96,922",2016-05-01
Metropolitan,"187,294",2016-06-01
Metropolitan,"182,506",2016-07-01
Metropolitan,"147,445",2016-08-01
Metropolitan,"138,292",2016-09-01
Metropolitan,"107,252",2016-10-01
Metropolitan,"100,954",2016-11-01
Metropolitan,"112,132",2016-12-01
Metropolitan,"101,941",2017-01-01
Metropolitan,"86,388",2017-02-01
Metropolitan,"109,462",2017-03-01
Metropolitan,"103,433",2017-03-31
Metropolitan,"95,523",2017-04-01
Metropolitan,"121,114",2017-05-01
Metropolitan,"104,313",2017-06-01
Metropolitan,"68,138",2017-07-01
Metropolitan,"92,707",2017-08-01
Metropolitan,"89,325",2017-09-01
Metropolitan,"176,385",2017-10-01
Metropolitan,"143,680",2017-11-01
Metropolitan,"98,020",2017-12-01
Metropolitan,"150,556",2018-01-01
Metropolitan,"132,513",2018-02-01
Metropolitan,"163,865",2018-03-01
Metropolitan,"128,427",2018-03-31
Metropolitan,"167,483",2018-04-01
Metropolitan,"72,975",2018-05-01
Metropolitan,"128,716",2018-06-01
Metropolitan,"116,002",2018-07-01
Metropolitan,"138,645",2018-08-01
Metropolitan,"75,750",2018-09-01
Metropolitan,"218,137",2018-10-01
Metropolitan,"147,329",2018-11-01
Metropolitan,"181,058",2018-12-01
Metropolitan,"63,242",2019-01-01
Metropolitan,"99,836",2019-02-01
Metropolitan,"145,682",2019-03-01
Metropolitan,"95,680",2019-03-31
Metropolitan,"67,000",2019-04-01
Metropolitan,"86,668",2019-05-01
Metropolitan,"129,691",2019-06-01
Metropolitan,"163,618",2019-07-01
Metropolitan,"231,347",2019-08-01
Metropolitan,"447,958",2019-09-01
Metropolitan,"384,892",2019-10-01
Metropolitan,"231,027",2019-11-01
Metropolitan,"176,657",2019-12-01
Metropolitan,"232,511",2020-01-01
Metropolitan,"216,745",2020-02-01
Metropolitan,"230,822",2020-03-01
Northern,"207,184",2016-04-01
Northern,"216,041",2016-05-01
Northern,"196,815",2016-06-01
Northern,"176,183",2016-07-01
Northern,"273,465",2016-08-01
Northern,"187,212",2016-09-01
Northern,"146,064",2016-10-01
Northern,"186,487",2016-11-01
Northern,"373,999",2016-12-01
Northern,"175,995",2017-01-01
Northern,"182,189",2017-02-01
Northern,"343,454",2017-03-01
Northern,"214,669",2017-03-31
Northern,"170,389",2017-04-01
Northern,"262,082",2017-05-01
Northern,"300,658",2017-06-01
Northern,"241,389",2017-07-01
Northern,"351,230",2017-08-01
Northern,"443,563",2017-09-01
Northern,"327,071",2017-10-01
Northern,"296,341",2017-11-01
Northern,"335,942",2017-12-01
Northern,"282,568",2018-01-01
Northern,"199,944",2018-02-01
Northern,"352,569",2018-03-01
Northern,"250,509",2018-03-31
Northern,"349,157",2018-04-01
Northern,"327,064",2018-05-01
Northern,"263,251",2018-06-01
Northern,"265,864",2018-07-01
Northern,"284,368",2018-08-01
Northern,"244,623",2018-09-01
Northern,"224,814",2018-10-01
Northern,"353,131",2018-11-01
Northern,"253,422",2018-12-01
Northern,"156,186",2019-01-01
Northern,"344,309",2019-02-01
Northern,"273,467",2019-03-01
Northern,"257,700",2019-03-31
Northern,"205,308",2019-04-01
Northern,"207,278",2019-05-01
Northern,"175,669",2019-06-01
Northern,"574,229",2019-07-01
Northern,"496,247",2019-08-01
Northern,"660,197",2019-09-01
Northern,"433,708",2019-10-01
Northern,"431,304",2019-11-01
Northern,"472,317",2019-12-01
Northern,"497,688",2020-01-01
Northern,"375,152",2020-02-01
Northern,"411,029",2020-03-01
Piccadilly,"125,575",2016-04-01
Piccadilly,"121,990",2016-05-01
Piccadilly,"161,332",2016-06-01
Piccadilly,"162,980",2016-07-01
Piccadilly,"200,244",2016-08-01
Piccadilly,"233,146",2016-09-01
Piccadilly,"196,498",2016-10-01
Piccadilly,"293,900",2016-11-01
Piccadilly,"2,084,103",2016-12-01
Piccadilly,"665,091",2017-01-01
Piccadilly,"251,783",2017-02-01
Piccadilly,"322,246",2017-03-01
Piccadilly,"314,521",2017-03-31
Piccadilly,"342,234",2017-04-01
Piccadilly,"356,732",2017-05-01
Piccadilly,"462,024",2017-06-01
Piccadilly,"529,679",2017-07-01
Piccadilly,"251,453",2017-08-01
Piccadilly,"265,981",2017-09-01
Piccadilly,"248,329",2017-10-01
Piccadilly,"217,662",2017-11-01
Piccadilly,"229,541",2017-12-01
Piccadilly,"221,140",2018-01-01
Piccadilly,"261,583",2018-02-01
Piccadilly,"358,321",2018-03-01
Piccadilly,"307,578",2018-03-31
Piccadilly,"234,430",2018-04-01
Piccadilly,"195,414",2018-05-01
Piccadilly,"218,262",2018-06-01
Piccadilly,"240,860",2018-07-01
Piccadilly,"430,080",2018-08-01
Piccadilly,"241,244",2018-09-01
Piccadilly,"265,760",2018-10-01
Piccadilly,"286,497",2018-11-01
Piccadilly,"455,996",2018-12-01
Piccadilly,"225,322",2019-01-01
Piccadilly,"297,649",2019-02-01
Piccadilly,"284,032",2019-03-01
Piccadilly,"260,526",2019-03-31
Piccadilly,"346,862",2019-04-01
Piccadilly,"239,352",2019-05-01
Piccadilly,"325,610",2019-06-01
Piccadilly,"457,500",2019-07-01
Piccadilly,"454,139",2019-08-01
Piccadilly,"387,057",2019-09-01
Piccadilly,"273,665",2019-10-01
Piccadilly,"177,034",2019-11-01
Piccadilly,"237,201",2019-12-01
Piccadilly,"218,613",2020-01-01
Piccadilly,"285,770",2020-02-01
Piccadilly,"519,687",2020-03-01
Victoria,"159,153",2016-04-01
Victoria,"152,276",2016-05-01
Victoria,"190,018",2016-06-01
Victoria,"393,877",2016-07-01
Victoria,"205,436",2016-08-01
Victoria,"166,393",2016-09-01
Victoria,"224,291",2016-10-01
Victoria,"189,783",2016-11-01
Victoria,"201,823",2016-12-01
Victoria,"228,735",2017-01-01
Victoria,"461,392",2017-02-01
Victoria,"196,643",2017-03-01
Victoria,"213,448",2017-03-31
Victoria,"225,964",2017-04-01
Victoria,"146,791",2017-05-01
Victoria,"297,388",2017-06-01
Victoria,"273,416",2017-07-01
Victoria,"273,815",2017-08-01
Victoria,"238,329",2017-09-01
Victoria,"348,575",2017-10-01
Victoria,"273,665",2017-11-01
Victoria,"355,577",2017-12-01
Victoria,"240,733",2018-01-01
Victoria,"219,767",2018-02-01
Victoria,"386,117",2018-03-01
Victoria,"280,633",2018-03-31
Victoria,"182,576",2018-04-01
Victoria,"273,077",2018-05-01
